,datum,tage,lebenszahl,paarsumme
537083,27.06.1471,537083,1,168
537112,26.07.1471,537112,1,168
537142,25.08.1471,537142,1,168
537172,24.09.1471,537172,1,168
537201,23.10.1471,537201,1,168
537231,22.11.1471,537231,1,168
537260,21.12.1471,537260,1,168
537301,31.01.1472,537301,1,168
537359,29.03.1472,537359,1,168
537389,28.04.1472,537389,1,168
537418,27.05.1472,537418,1,168
537448,26.06.1472,537448,1,168
537477,25.07.1472,537477,1,168
537507,24.08.1472,537507,1,168
537537,23.09.1472,537537,1,168
537566,22.10.1472,537566,1,168
537596,21.11.1472,537596,1,168
537625,20.12.1472,537625,1,168
537666,30.01.1473,537666,1,168
537723,28.03.1473,537723,1,168
537753,27.04.1473,537753,1,168
537782,26.05.1473,537782,1,168
537812,25.06.1473,537812,1,168
537841,24.07.1473,537841,1,168
537871,23.08.1473,537871,1,168
537901,22.09.1473,537901,1,168
537930,21.10.1473,537930,1,168
